run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.60,24,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5876864
p1_ieee_access_upgrade_v2,0.60,24,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.3962111
p1_ieee_access_upgrade_v2,0.60,24,TCN,4,71,28273,20,256,5|10|15|20,completed,,,0.9117379
p1_ieee_access_upgrade_v2,0.60,24,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.5592956
p1_ieee_access_upgrade_v2,0.60,24,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.5517332
p1_ieee_access_upgrade_v2,0.60,24,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.3927833
p1_ieee_access_upgrade_v2,0.60,24,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.8994759
p1_ieee_access_upgrade_v2,0.60,24,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5790233
p1_ieee_access_upgrade_v2,0.60,24,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5362276
p1_ieee_access_upgrade_v2,0.60,24,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3995447
p1_ieee_access_upgrade_v2,0.60,24,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8969258
p1_ieee_access_upgrade_v2,0.60,24,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5536829
p1_ieee_access_upgrade_v2,0.60,24,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.536156
p1_ieee_access_upgrade_v2,0.60,24,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.4075548
p1_ieee_access_upgrade_v2,0.60,24,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8454303
p1_ieee_access_upgrade_v2,0.60,24,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5329549
p1_ieee_access_upgrade_v2,0.60,24,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.5346492
p1_ieee_access_upgrade_v2,0.60,24,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.3960332
p1_ieee_access_upgrade_v2,0.60,24,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.875271
p1_ieee_access_upgrade_v2,0.60,24,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.5420989
p1_ieee_access_upgrade_v2,0.60,24,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.5544138
p1_ieee_access_upgrade_v2,0.60,24,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.4055081
p1_ieee_access_upgrade_v2,0.60,24,TCN,9,139,28273,20,256,5|10|15|20,completed,,,0.9092203
p1_ieee_access_upgrade_v2,0.80,1,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.5547117
p1_ieee_access_upgrade_v2,0.80,1,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.5447571
p1_ieee_access_upgrade_v2,0.80,1,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.4100673
p1_ieee_access_upgrade_v2,0.80,1,TCN,0,11,28273,20,256,5|10|15|20,completed,,,1.0058076
p1_ieee_access_upgrade_v2,0.80,1,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.6421567
p1_ieee_access_upgrade_v2,0.80,1,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.6497438
p1_ieee_access_upgrade_v2,0.80,1,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.4959587
