paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,outage_contingency,Ablation-NoOutage,ablation,2,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005830,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoOutage,ablation,3,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005790,public_simbench_planning_v1
p4,restoration_aware_evaluation,SHIELD-MOEA,proposed,1,0.79741262,0.01787477,0.87162378,0.12436538,0.17787477,0.00000000,1.00000000,1.00000000,0.12436538,11,0.00006640,public_simbench_planning_v1
p4,restoration_aware_evaluation,SHIELD-MOEA,proposed,2,0.79741262,0.01787477,0.87162378,0.12436538,0.17787477,0.00000000,1.00000000,1.00000000,0.12436538,11,0.00006530,public_simbench_planning_v1
p4,restoration_aware_evaluation,SHIELD-MOEA,proposed,3,0.79741262,0.01787477,0.87162378,0.12436538,0.17787477,0.00000000,1.00000000,1.00000000,0.12436538,11,0.00006530,public_simbench_planning_v1
p4,restoration_aware_evaluation,NSGA-II,baseline,1,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005790,public_simbench_planning_v1
p4,restoration_aware_evaluation,NSGA-II,baseline,2,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005710,public_simbench_planning_v1
p4,restoration_aware_evaluation,NSGA-II,baseline,3,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005760,public_simbench_planning_v1
p4,restoration_aware_evaluation,MOEA/D,baseline,1,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005730,public_simbench_planning_v1
p4,restoration_aware_evaluation,MOEA/D,baseline,2,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005680,public_simbench_planning_v1
p4,restoration_aware_evaluation,MOEA/D,baseline,3,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00005730,public_simbench_planning_v1
p4,restoration_aware_evaluation,GA,baseline,1,0.76369003,0.02381257,0.87684044,0.12230392,0.18381257,0.00065718,0.93208472,1.00000000,0.12230392,9,0.00008850,public_simbench_planning_v1
p4,restoration_aware_evaluation,GA,baseline,2,0.78966615,0.02204367,0.71314673,0.12488263,0.18204367,0.00000000,1.00000000,1.00000000,0.12488263,9,0.00008810,public_simbench_planning_v1
