dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,139,Top-Down,0.36452982,0.56458378,0.34898466,0.18002103,0.70526772,1.33143299,2.75662896,0.00000000,2.1447,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,139,OLS-Reconciled,0.29250523,0.41694495,0.28080306,0.17976766,0.51806506,1.06359531,2.75601160,0.00000000,2.1447,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,11,Base,0.28503771,0.40912747,0.27185117,0.17413448,0.50844295,1.03975229,2.69330881,0.04518043,2.4596,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,11,Bottom-Up,0.28589322,0.40912747,0.27280596,0.17574623,0.50844295,1.04240061,2.71648662,0.00000000,2.4596,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,11,Top-Down,0.35842651,0.55841657,0.34272848,0.17413448,0.69770794,1.31233615,2.69330881,0.00000000,2.4596,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,11,OLS-Reconciled,0.28400759,0.40668425,0.27181396,0.17352456,0.50721479,1.03765068,2.68652435,0.00000000,2.4596,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,23,Base,0.29231989,0.41676056,0.27946255,0.18073657,0.51773029,1.05969512,2.76210129,0.04246667,2.4589,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,23,Bottom-Up,0.29293730,0.41676056,0.28022265,0.18182868,0.51773029,1.06477749,2.79736814,0.00000000,2.4589,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,23,Top-Down,0.36505129,0.56491644,0.34950088,0.18073657,0.70579642,1.33299857,2.76210129,0.00000000,2.4589,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,23,OLS-Reconciled,0.29185317,0.41587073,0.27925512,0.18043366,0.51521014,1.05710304,2.75993584,0.00000000,2.4589,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,47,Base,0.29144590,0.41698323,0.27834071,0.17901376,0.52303920,1.06334477,2.76307058,0.03912959,2.4667,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,47,Bottom-Up,0.29472384,0.41698323,0.28275947,0.18442881,0.52303920,1.07969393,2.85534898,0.00000000,2.4667,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,47,Top-Down,0.36317351,0.56305840,0.34744838,0.17901376,0.70496392,1.33144796,2.76307058,0.00000000,2.4667,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,47,OLS-Reconciled,0.28942549,0.41161885,0.27741349,0.17924413,0.51605657,1.05861136,2.76767375,0.00000000,2.4667,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,59,Base,0.28331754,0.40651881,0.27002424,0.17340958,0.50262360,1.03488919,2.68009561,0.04490469,2.4548,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
